date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:08:35	81/81	---MCZ	200	added ('OK')	text/plain	date:Fri,%2017%20Dec%202021%2003:34:13%20GMT	https://wefallinlove.katsudoto.id/robots.txt		(from )
09:08:35	38839/38839	---MCZ	200	added ('OK')	text/html	date:Fri,%2006%20Jan%202023%2002:08:34%20GMT	https://wefallinlove.katsudoto.id/	D:/Undangan/ari-alia/wefallinlove.katsudoto.id/index.html	(from )
09:08:37	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Fri,%2006%20Jan%202023%2002:08:36%20GMT	https://www.googletagmanager.com/gtm.js?id=	D:/Undangan/ari-alia/www.googletagmanager.com/gtm.15445.delayed	(from https://wefallinlove.katsudoto.id/)
09:08:37	243563/243563	---M--	200	added ('OK')	image/jpeg	date:Sat,%2003%20Sep%202022%2011:57:05%20GMT	https://katsudoto.id/media/public/14315/12520/cover/thumb_md_99438_1662206225_1000_1000.jpeg	D:/Undangan/ari-alia/katsudoto.id/media/public/14315/12520/cover/thumb_md_99438_1662206225_1000_1000.jpg	(from https://wefallinlove.katsudoto.id/)
09:08:38	89472/89472	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2003%20Dec%202021%2015:45:06%20GMT	https://katsudoto.id/src/jquery.js	D:/Undangan/ari-alia/katsudoto.id/src/jquery.js	(from https://wefallinlove.katsudoto.id/)
09:08:39	164970/164970	---M--	200	added ('OK')	image/png	date:Thu,%2020%20May%202021%2013:29:29%20GMT	https://katsudoto.id/media/kat/favicon.png	D:/Undangan/ari-alia/katsudoto.id/media/kat/favicon.png	(from https://wefallinlove.katsudoto.id/)
09:08:41	8089/8089	---MCZ	200	added ('OK')	text/css	date:Wed,%2012%20May%202021%2013:27:27%20GMT	https://katsudoto.id/plugin/selectize/dist/css/selectize.default.css	D:/Undangan/ari-alia/katsudoto.id/plugin/selectize/dist/css/selectize.default.css	(from https://wefallinlove.katsudoto.id/)
09:08:42	1109/1109	---MCZ	200	added ('OK')	text/css	date:Fri,%2021%20May%202021%2007:06:36%20GMT	https://katsudoto.id/plugin/flexbin/flexbin.css	D:/Undangan/ari-alia/katsudoto.id/plugin/flexbin/flexbin.css	(from https://wefallinlove.katsudoto.id/)
09:08:43	26053/26053	---MCZ	200	added ('OK')	text/css	date:Wed,%2012%20May%202021%2013:04:54%20GMT	https://katsudoto.id/plugin/aos/dist/aos.css	D:/Undangan/ari-alia/katsudoto.id/plugin/aos/dist/aos.css	(from https://wefallinlove.katsudoto.id/)
09:08:44	21386/21386	---MCZ	200	added ('OK')	text/css	date:Mon,%2024%20May%202021%2012:16:44%20GMT	https://katsudoto.id/plugin/lightgallery/dist/css/lightgallery.css	D:/Undangan/ari-alia/katsudoto.id/plugin/lightgallery/dist/css/lightgallery.css	(from https://wefallinlove.katsudoto.id/)
09:08:44	59398/59398	---MCZ	200	added ('OK')	text/css	date:Wed,%2012%20May%202021%2013:06:11%20GMT	https://katsudoto.id/plugin/fontawesome/css/all.css	D:/Undangan/ari-alia/katsudoto.id/plugin/fontawesome/css/all.css	(from https://wefallinlove.katsudoto.id/)
